date,pca1,pca2,tsne1,tsne2,spectral1,spectral2,umap1,umap2,target
2021-09-15,0.3066376331622317,0.25507295822321063,15.747537,22.91877,0.0033301327748485455,-0.005084654700742982,5.823852,13.811652,378.04998779296875
2021-09-16,-0.26364786699278175,-0.14091735226947433,-12.563761,-13.407025,-0.0036684957691371528,0.003874359769258162,3.7431338,16.072142,378.30999755859375
2021-09-20,0.37014163964221103,0.08404542313923054,15.800314,10.939349,0.004821864817337551,-0.002254152095711095,7.4497666,10.583823,365.70001220703125
2021-09-21,-0.3184019103105366,-0.12009673921962581,-14.752438,-14.636056,-0.0037844875467528275,0.003801376736301138,-0.5285166,12.0778885,366.1499938964844
2021-09-23,-0.3332365720368368,0.11258192854257948,-21.0302,19.992344,-0.0037447229412937285,-0.0040502955182420185,2.636026,14.493004,372.9800109863281
2021-09-24,0.38295123094641503,0.12512817215177605,22.173792,14.5278845,0.004558638754495432,-0.003325628256645346,6.765773,12.173265,373.3299865722656
2021-09-27,0.006290303217241994,-0.35186726213688196,3.0360274,-28.521208,0.000597458491650159,0.006268394880009739,5.8276367,15.915662,370.3500061035156
2021-09-29,-0.07555183319460937,-0.35053638889179856,-0.7815224,-25.890432,-0.000417766346543709,0.0060750021089435325,8.121251,15.270009,359.2799987792969
2021-09-30,0.32647351181919326,0.23349291205195283,17.120192,21.594604,0.003624777346419115,-0.004773261731687603,5.8876414,12.272393,357.9599914550781
2021-10-01,0.37848495078951877,0.13853638104744173,19.969223,14.423515,0.00442217411888639,-0.0035600229905447906,6.3463745,12.654163,360.17999267578125
2021-10-04,-0.32067520039674385,-0.13070862445587386,-16.567875,-17.517195,-0.003715627111520513,0.003950302152506297,0.123787686,13.109888,352.6199951171875
2021-10-05,-0.297775583648377,0.19449016898013896,-14.135796,22.504766,-0.0031111347508560074,-0.004818251511663702,2.6038244,13.534085,357.3800048828125
2021-10-06,-0.33798495285684044,0.09774412735932327,-21.592207,17.168636,-0.003953530321185737,-0.00371148433213975,4.5548744,15.365235,359.6700134277344
2021-10-11,0.4014526128650258,0.042008442673039686,25.582485,5.1163435,0.005083601275804342,-0.0013507654791742418,7.8384027,10.962236,358.3900146484375
2021-10-12,0.26449636886715866,-0.2807544229861231,14.487346,-24.231312,0.002873384783451965,0.005726057342590667,7.0755267,15.1740885,357.1400146484375
2021-10-13,0.09050912791864653,0.3732388406736215,4.5187583,27.682598,0.0016586953688928284,-0.006070528716645683,5.1274786,14.406723,360.0
2021-10-14,-0.3472434234584635,-0.030478708559953258,-29.241793,-5.926951,-0.004596727810681122,0.001544498876572793,0.5048556,13.17378,366.6300048828125
2021-10-15,0.37557986356252715,0.14753874652552953,21.5602,16.358635,0.004417395295699653,-0.003630958864736221,6.4809213,12.053433,368.94000244140625
2021-10-18,0.1912750972956464,0.01883750856967285,11.188376,13.332407,0.0045886435585130265,-0.0015149148019366482,5.972396,14.726205,372.6499938964844
2021-10-19,-0.23795698977554175,0.26749332601099046,-9.277297,26.140905,-0.002428699037307192,-0.005281455317492,4.2762814,14.727154,375.4700012207031
